adult,original_language,original_title,overview,release_date,vote_average,vote_count
False,en,M*A*S*H,"One of the world's most acclaimed comedies, MASH focuses on three Korean War Army surgeons brilliantly brought to life by Donald Sutherland, Tom Skerritt and Elliott Gould. Though highly skilled and deeply dedicated, they adopt a hilarious, lunatic lifestyle as an antidote to the tragedies of their Mobile Army Surgical Hospital, and in the process infuriate Army bureaucrats. Robert Duvall, Gary Burghoff and Sally Kellerman co-star as a sanctimonious Major, an other-worldly Corporal, and a self-righteous yet lusty nurse.",1970-01-24,6.9,238.0
False,en,Patton,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",1970-01-25,7.3,327.0
False,en,Tora! Tora! Tora!,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words use by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.",1970-01-26,6.9,150.0
False,it,Indagine su un cittadino al di sopra di ogni sospetto,"A chief of detectives, homicide section, commits a murder and deliberately leaves clues to prove his own responsibility for the crime.",1970-02-09,7.9,86.0
False,en,Zabriskie Point,"An epic portrait of late Sixties America, as seen through the portrayal of two of its children: anthropology student Daria (who's helping a property developer build a village in the Los Angeles desert) and dropout Mark (who's wanted by the authorities for allegedly killing a policeman during a student riot)...",1970-02-09,7.1,78.0
False,it,L'uccello dalle piume di cristallo,"In Italy, the American writer Sam Dalmas (Tony Musant) witnesses an attempt of murder of the owner of an art gallery, a couple of days before his foreseen return to the United States of America. He decides to stay with his girlfriend Julia (Suzy Kendall) and help the police in the investigation, while the serial killer stalks Julia and him.",1970-02-19,7.1,90.0
False,fr,L'Enfant sauvage,"Director François Truffaut makes a rare on-screen appearance in one of his most unusual films. Based on a true story, the film follows the discovery of a feral child (Jean-Pierre Cargol) who's grown up wild in the forest in late-18th-century France. Truffaut plays Dr. Jean Itard, the deaf specialist who tries to civilize the boy, teaching him to walk, speak and read; the screenplay was adapted from Itard's writings.",1970-02-26,7.3,65.0
False,fr,Le Boucher,"An unlikely friendship between a dour, working class butcher and a repressed schoolteacher coincides with a grisly series of Ripper-type murders in a provincial French town.",1970-02-27,7.0,36.0
False,en,Airport,"Melodrama about a bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.",1970-03-05,6.2,89.0
False,en,Woodstock,"An intimate look at the Woodstock Music & Art Festival held in Bethel, NY in 1969, from preparation through cleanup, with historic access to insiders, blistering concert footage, and portraits of the concertgoers; negative and positive aspects are shown, from drug use by performers to naked fans sliding in the mud, from the collapse of the fences by the unexpected hordes to the surreal arrival of National Guard helicopters with food and medical assistance for the impromptu city of 500,000.",1970-03-26,7.1,67.0
False,es,Tristana,"Tristana is a young Spanish woman left to the care of Don Lope, a protective but impoverished aristocrat. Don sells his possessions to avoid manual labor and champions the causes of the dispossessed and downtrodden of society. He takes advantage of the vulnerable Tristana, who leaves him when she falls in love with Horacio. Unable to commit to him, she returns to Don Lope when she falls ill. He asks for her hand in marriage, and she accepts after losing her leg to cancer. She chooses to remain in a passionless union rather than be subject to the harsh realities of a society that refuses to change to the needs of women. Taken from the novel by celebrated author Benito Perez Galdos.",1970-03-29,7.2,42.0
False,en,Colossus: The Forbin Project,"Forbin is the designer of an incredibly sophisticated computer that will run all of America's nuclear defenses. Shortly after being turned on, it detects the existence of Guardian, the Soviet counterpart, previously unknown to US Planners. Both computers insist that they be linked, and after taking safeguards to preserve confidential material, each side agrees to allow it. As soon as the link is established the two become a new Super computer and threaten the world with the immediate launch of nuclear weapons if they are detached. Colossus begins to give its plans for the management of the world under its guidance. Forbin and the other scientists form a technological resistance to Colossus which must operate underground.",1970-04-08,7.1,50.0
False,sv,En kärlekshistoria,"The youngsters puppy love is set against a backdrop of adults that struggle with their own lives. Her fathers feeling of misery and failure at work, her aunts unhappiness as an unmarried woman without kids of her own. His father work at the paintshop-business and his worries about the mentally ill grandfather. Against the adults the young couples love is so sweet and sensual, so innocent and beautiful. As a couple in love, they don't care about anything but themselves and seems totally unaware about everything that surrounds them.",1970-04-24,7.5,32.0
False,en,Beneath the Planet of the Apes,"Astronaut Brent is sent to rescue Taylor but crash lands on the Planet of the Apes, just like Taylor did in the original film. Taylor has disappeared into the Forbidden Zone so Brent and Nova try to follow and find him. He discovers a cult of humans that fear the Apes' latest military movements and finds himself in the middle. Tension mounts to a climactic battle between ape and man deep in the bowels of the planet.",1970-05-01,6.2,370.0
False,en,A Man Called Horse,In 1825 an English aristocrat is captured by Indians. He lives with them and begins to understand/accept their lifestyles. Eventually he is accepted as part of the tribe and becomes their leader.,1970-05-01,6.6,58.0
False,en,Taste the Blood of Dracula,"Three elderly distinguished gentlemen are searching for some excitement in their boring borgoueis lives and gets in contact with one of count Dracula's servants. In a nightly ceremony they restore the count back to life. The three men killed Dracula's servant and as a revenge, the count makes sure that the gentlemen are killed one by one by their own sons.",1970-05-07,5.9,42.0
False,en,Let It Be,"Documentary film about The Beatles rehearsing and recording songs for the album Let It Be in January 1969. The film features an unannounced rooftop concert by the group, their last performance in public. Released just after the album, it was the final original Beatles release. This film has not been commercially available since the 1980s.",1970-05-13,7.6,32.0
False,en,The Ballad of Cable Hogue,"Double-crossed and left without water in the desert, Cable Hogue is saved when he finds a spring. It is in just the right spot for a much needed rest stop on the local stagecoach line, and Hogue uses this to his advantage. He builds a house and makes money off the stagecoach passengers. Hildy, a prostitute from the nearest town, moves in with him. Hogue has everything going his way until the advent of the automobile ends the era of the stagecoach.",1970-05-13,6.9,48.0
False,en,Two Mules for Sister Sara,"Hogan, on his way to do some reconnaissance for a future mission to capture a French fort, encounters Sister Sara, a nun in trouble. Before he knows it, Hogan is accompanying Sister Sara in the dangerous frontier while she seeks to achieve a hidden goal.",1970-06-14,6.6,129.0
False,en,Kelly's Heroes,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.,1970-06-22,7.2,191.0
False,en,Catch-22,"A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way to cope with a crazy situation. Catch-22 is a parody of a ""military mentality"" and of a bureaucratic society in general.",1970-06-24,6.7,73.0
False,en,Beyond the Valley of the Dolls,A hip and happenin' all girl rock group head to LA to claim lead-singer Kelly's inheritance and make it (and make it) in LA. Soon the girls fall into a morass of drugs and deceit as their recording success soars. It takes several tragedies to make them stop and think... but is it too late?,1970-07-17,6.6,53.0
False,en,Chisum,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County land war.,1970-07-23,6.7,49.0
False,en,Performance,"A young gangster Chas Devlin (James Fox) seeks refuge from the mob in a basement belonging to a reclusive, fading rock star Turner (Mick Jagger). In 'underworld' terms, Chas is a 'performer', a gangster with a talent for violence and intimidation. After taking a trip, he begins to cross dress and experiment with his sexuality. The directorial debut of Nicolas Roeg explores both the liberating impulses and threat of anarchy which provided the twin motors of the 'Swinging Sixties'.",1970-08-03,6.9,46.0
False,en,Soldier Blue,"After a cavalry group is massacred by the Cheyenne, only two survivors remain: Honus, a naive private devoted to his duty, and Cresta, a young woman who had lived with the Cheyenne two years and whose sympathies lie more with them than with the US government. Together, they must try to reach the cavalry's main base camp. As they travel onward, Honus is torn between his growing affection for Cresta.",1970-08-12,7.1,42.0
False,fr,Domicile Conjugal,Bed and Board depicts Christine and Antoine having just gotten married yet things fall apart as they are unfaithful.,1970-08-31,7.2,39.0
False,en,Deep End,"15-year-old Mike takes a job at the local swimming baths, where he becomes obsessed with an attractive young woman, Susan, who works there as an attendant. Although Susan has a fiancé, Mike does his best to sabotage the relationship, to the extent of stalking both her and her fiancé.",1970-09-01,6.8,38.0
False,en,Five Easy Pieces,"A drop-out from upper-class America picks up work along the way on oil-rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",1970-09-12,7.2,114.0
False,en,The Vampire Lovers,"In the heart of Styria the Karnstein Family, even after their mortal deaths, rise from their tombs spreading evil in the countryside in their lust for fresh blood. Baron Hartog whose family are all victims of Karnstein vampirism, opens their graves and drives a stake through their diabolical hearts. One grave he cannot locate is that of the legendary beautiful Mircalla Karnstein. Years of peace follow that grisly night until Mircalla reappears to avenge her family's decimation and satisfy her desire for blood.",1970-10-04,6.5,36.0
False,cs,Valerie a týden divů,"Valerie, a Czechoslovakian teenager living with her grandmother, is blossoming into womanhood, but that transformation proves secondary to the effects she experiences when she puts on a pair of magic earrings. Now seeing the world around her in a different light, Valerie must endure her sexual awakening while attempting to discern reality from fantasy as she encounters lecherous priest Gracian, a vampire-like stranger and otherworldly carnival folk.",1970-10-10,6.9,53.0
False,fr,Le Cercle Rouge,"Master thief Corey is fresh out of prison. But instead of toeing the line of law-abiding freedom, he finds his steps leading back to the shadowy world of crime, crossing those of a notorious escapee and alcoholic ex-cop. As the unlikely trio plots a heist against impossible odds, their trail is pursued by a relentless inspector, and fate seals their destinies.",1970-10-19,7.6,116.0
False,it,Il conformista,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",1970-10-21,7.6,129.0
False,en,Waterloo,"After defeating France and imprisoning Napoleon on Elba, ending two decades of war, Europe is shocked to find Napoleon has escaped and has caused the French Army to defect from the King back to him. The best of the British generals, the Duke of Wellington, beat Napolean's best generals in Spain and Portugal, but now must beat Napoleon himself with an Anglo Allied army.",1970-10-26,7.1,33.0
False,fr,Le Gendarme en balade,"The whole clique of Cruchot's police station is retired. Now he lives with his rich wife in her castle - and is bored almost to death. He fights with the butler, because he isn't even allowed to do the simple works. But when one of the clique suffers from amnesia after an accident, all of the others reunite and kidnap him, to take him on a tour to their old working places and through their memories. In their old uniforms they turn St. Tropez upside down.",1970-10-28,6.5,71.0
False,en,The Private Life of Sherlock Holmes,"Director Billy Wilder adds a new and intriguing twist to the personality of intrepid detective Sherlock Holmes. One thing hasn't changed however: Holmes' crime-solving talents. Holmes and Dr. Watson take on the case of a beautiful woman whose husband has vanished. The investigation proves strange indeed, involving six missing midgets, villainous monks, a Scottish castle, the Loch Ness monster, and covert naval experiments. Can the sleuths make sense of all this and solve the mystery",1970-10-29,6.9,61.0
False,en,Scars of Dracula,"The Prince of Darkness casts his undead shadow once more over the cursed village of Kleinenberg when his ashes are splashed with bat's blood and Dracula is resurrected. And two innocent victims search for a missing loved one... loved to death by Dracula's mistress. But after they discover his blood-drained corpse in Dracula's castle necropolis, the Vampire Lord's lustful vengeance begins.",1970-11-08,5.9,31.0
False,it,Il giardino dei Finzi Contini,"In late 1930s Ferrara, Italy, the Finzi-Continis are a leading family: wealthy, aristocratic, and urbane; they are also Jewish. Their adult children, Micol and Alberto, gather a diverse circle of friends for tennis and parties at their villa with its lovely grounds, and try to keep the rest of the world at bay. But tensions between them all grow as anti-Semitism rises in Fascist Italy, and even the Finzi-Continis will have to confront the Holocaust.",1970-12-04,6.6,32.0
False,en,The Rolling Stones: Gimme Shelter,"This documentary of the Rolling Stones' 1969 US tour has become a legendary, harrowing symbol of the tragic demise of the ""Peace and Love"" era. After a successful tour across the US, the Rolling Stones gave a free December concert at Altamont Speedway in California with the Grateful Dead, Ike and Tina Turner, Jefferson Airplane, and the Flying Burrito Brothers. The band unwisely selected the Hells Angels to provide security, and the bikers resorted to violence to keep the stoned, restless, and often naked crowd in line. The result: dozens of injuries and the on-screen stabbing of a young black man (during ""Sympathy for the Devil"") by one of the concert's staff security. In a manipulative but effective move, the Maysles brothers filmed Mick Jagger in the editing room witnessing the on-camera murder for the first time. The film also works as a rock-and-roll document, capturing the band at their most relaxed, intoxicating, and electrifying.",1970-12-06,7.8,42.0
False,fr,Le genou de Claire,"On the eve of his wedding, on holiday on the Lake Annecy shore, a career diplomat visits an old acquaintance, perhaps a former girlfriend. Through her he meets an intense teenager, Laura, and then lusts after her sister, Claire. Whilst Laura attempts to flirt with him, his fantasy becomes focused on wanting to caress Claire's knee.",1970-12-11,7.4,35.0
False,en,Little Big Man,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.",1970-12-14,7.5,128.0
False,en,Santa Claus Is Comin' to Town,"A postman, S.D. Kluger, decides to answer some of the most common questions about Santa Claus, and tells us about a small baby named Kris who is raised by a family of elf toymakers named Kringle. When Kris grew up, he wanted to deliver toys to the children of Sombertown. But its Mayor is too mean to let that happen. And to make things worse, the Winter Warlock who lives between the Kringles and Sombertown, but Kris manages to melt the Warlock's heart and deliver his toys.",1970-12-14,6.9,38.0
False,en,Love Story,"Harvard Law student Oliver Barrett IV and music student Jennifer Cavilleri share a chemistry they cannot deny - and a love they cannot ignore. Despite their opposite backgrounds, the young couple put their hearts on the line for each other. When they marry, Oliver's wealthy father threatens to disown him. Jenny tries to reconcile the Barrett men, but to no avail.",1970-12-16,6.6,123.0
False,en,Rio Lobo,"After the Civil War, Cord McNally searches for the traitor whose perfidy caused the defeat of McNally's unit and the loss of a close friend.",1970-12-18,6.2,47.0
False,es,El Topo,"El Topo decides to confront warrior Masters on a trans-formative desert journey he begins with his 6 year old son, who must bury his childhood totems to become a man. El Topo (the mole) claims to be God, while dressed as a gunfighter in black, riding a horse through a spiritual, mystical landscape strewn with old Western movie, and ancient Eastern religious symbols. Bandits slaughtered a village on his path, so El Topo avenges the massacred, then forcibly takes their leader's woman Mara as his. El Topo's surreal way is bloody, sexual and self-reflective, musing of his own demons, as he tries to vanquish those he encounters.",1970-12-18,7.4,109.0
False,fr,Peau d'âne,A fairy godmother helps a princess disguise herself so she won't have to marry her father.,1970-12-20,7.6,66.0
False,it,Lo chiamavano Trinità...,"The simple story has the pair coming to the rescue of peace-loving Mormons when land-hungry Major Harriman sends his bullies to harass them into giving up their fertile valley. Trinity and Bambino manage to save the Mormons and send the bad guys packing with slapstick humor instead of excessive violence, saving the day.",1970-12-22,7.5,269.0
False,en,The Aristocats,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children -- Bonfamille's prize family of domesticated house cats -- the butler plots to steal the money and kidnaps the heirs, leaving them out on a country road. All seems lost until the wily Thomas O'Malley Cat and his jazz-playing alley cats come to the Aristocats's rescue.",1970-12-23,7.1,1287.0
False,it,Il Decameron,"An adaptation of nine stories from Bocaccio's ""Decameron"": A young Sicilian is swindled twice, but ends up rich; a man poses as a deaf-mute in a convent of curious nuns; a woman must hide her lover when her husband comes home early; a scoundrel fools a priest on his deathbed; three brothers take revenge on their sister's lover; a young girl sleeps on the roof to meet her boyfriend at night; a group of painters wait for inspiration; a crafty priest attempts to seduce his friend's wife; and two friends make a pact to find out what happens after death. Pasolini is up to his old tricks satirizing the Church, and throwing in liberal doses of life and love",1971-01-01,6.9,50.0
False,en,Vanishing Point,"Kowalski works for a car delivery service. He takes delivery of a 1970 Dodge Challenger to take from Colorado to San Francisco, California. Shortly after pickup, he takes a bet to get the car there in less than 15 hours.",1971-01-15,7.1,110.0
False,en,10 Rillington Place,"The story of British serial killer John Christie, who committed most or all of his crimes in the titular terraced house, and the miscarriage of justice involving Timothy Evans.",1971-02-10,6.9,45.0
False,it,Il gatto a nove code,A reporter and a blind retired journalist try to solve a series of murders. The crimes are connected to experiments by a pharmaceutical company in secret research. The two end up becoming targets of the killer.,1971-02-11,6.9,52.0
False,it,Morte a Venezia,"Composer Gustav von Aschenbach, travels to Venice for health reasons. There, he becomes obsessed with the stunning beauty of an adolescent Polish boy named Tadzio who is staying with his family at the same Grand Hôtel des Bains on the Lido as Aschenbach.",1971-03-01,7.1,78.0
False,en,THX 1138,People in the future live in a totalitarian society. A technician named THX 1138 lives a mundane life between work and taking a controlled consumption of drugs that the government uses to make puppets out of people. As THX is without drugs for the first time he has feelings for a woman and they start a secret relationship.,1971-03-11,6.4,265.0
False,en,The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..",1971-03-12,7.0,196.0
False,fr,La Folie des grandeurs,"Don Sallust (Louis de Funès) is minister of the King of Spain. It is a being disingenuous, hypocritical and greedy that collects the taxes himself, he turns in part to his advantage. He is hated by the people he oppresse.Accusé by Queen, a beautiful princess Bavarian, of having an illegitimate child to one of her maids of honor, he was stripped of his duties and ordered to retire to a monastery. Decided to revenge, it comes in contact with his nephew seducing Caesar ...",1971-04-01,7.5,98.0
False,en,Summer of '42,"Silent as a painting, the movie shows us day-dreamer Hermie and his friends Oscy and Benjie spending the summer of '42 on an US island with their parents - rather unaffected by WWII. While Oscy's main worries are the when and how of getting laid, Hermie honestly falls in love with the older Dorothy, who's married to an army pilot. When her husband returns to the front, Hermie shyly approaches her. Written by Bob Dawson",1971-04-09,6.5,31.0
False,fr,Le souffle au cœur,"In the end of the first Indochina War, an open-minded teenage boy finds himself between the urge to discover love and the ever-present, dominating affection of his mother.",1971-04-27,7.4,39.0
False,en,Bananas,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",1971-04-28,6.7,167.0
False,en,Punishment Park,"In this fictional documentary, U.S. prisons are at capacity, and President Nixon declares a state of emergency. All new prisoners, most of whom are connected to the antiwar movement, are now given the choice of jail time or spending three days in Punishment Park, where they will be hunted for sport by federal authorities. The prisoners invariably choose the latter option, but learn that, between the desert heat and the brutal police officers, their chances of survival are slim.",1971-05-09,7.6,38.0
False,en,The Abominable Dr. Phibes,"Famous organist Anton Phibes is horribly disfigured in an automobile accident while rushing to the side of his sick wife and presumed to be dead. Once Phibes learns that his wife died on the operating table, he is convinced the doctor's are responsible and begins exacting his revenge on all those involved.",1971-05-18,6.9,79.0
False,en,Escape from the Planet of the Apes,"The world is shocked by the appearance of two talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.",1971-05-20,6.3,270.0
False,en,Big Jake,An aging Texas cattle man who has outlived his time swings into action when outlaws kidnap his grandson.,1971-05-26,6.8,55.0
False,en,The Anderson Tapes,"A thief (Duke Anderson) just released from ten years in jail, takes up with his old girlfriend (Ingrid) in her posh apartment. He makes plans to rob the entire building. What he doesn't know is that his every move is recorded on audio and video tape, although he is not the subject of any surveillance.",1971-06-17,6.4,40.0
False,en,Klute,"This acclaimed thriller stars Jane Fonda as Bree Daniel, a New York City call girl who becomes enmeshed in an investigation into the disappearance of a business executive. Detective John Klute is hired to follow Daniel, and eventually begins a romance with her, but it appears that he hasn't been the only person on her trail. When it becomes clear that Daniel is being targeted, it's up to her and Klute to figure out who is after her before it's too late.",1971-06-21,6.5,88.0
False,en,Le Mans,"Steve McQueen is ideally cast as a champion race car driver, participating in the famed 24-hour race headquartered in Le Mans, France. Though dedicated to Going for the Gold, McQueen finds time to romance widowed Elga Andersen. The dramatic angle to this plot wrinkle is that McQueen may well have been responsible for the death of Andersen's husband during a previous car pile-up. Director John Sturges, who'd previously helmed Steve McQueen's legendary motorcycle chase scenes in The Great Escape, was originally slated to direct Le Mans, but withdrew from the project; it was then taken over by Lee H. Katzin.",1971-06-23,6.7,52.0
False,en,McCabe & Mrs. Miller,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",1971-06-24,7.3,82.0
False,en,Willy Wonka & the Chocolate Factory,Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?,1971-06-29,7.4,826.0
False,en,The Devils,"A dramatised historical account of the rise and fall of Urbain Grandier, a 17th-century Roman Catholic priest accused of  witchcraft following alleged demonic possessions of sexually repressed nuns.",1971-07-01,7.4,90.0
False,en,Walkabout,"Under the pretense of having a picnic, a geologist takes his teenage daughter and 6-year-old son into the Australian outback and attempts to shoot them. When he fails, he turns the gun on himself, and the two city-bred children must contend with harsh wilderness alone. They are saved by a chance encounter with an Aborigine boy who shows them how to survive, and in the process underscores the disharmony between nature and modern life.",1971-07-01,7.4,111.0
False,en,Two-Lane Blacktop,"A driver and a mechanic travel around the United States hopping from drag strip to drag strip in a 1955 Chevy Bel-Air coupe. They race for money, betting with their competitors. The pair gain a young and talkative female stowaway. Along the way they unintentionally attract a well-to-do drifter driving a new Pontiac GTO. This older man, looking for attention, antagonizes their efforts.",1971-07-07,6.7,58.0
False,en,The Panic in Needle Park,"This movie is a stark portrayal of life among a group of heroin addicts who hang out in Needle Park in New York City. Played against this setting is a low-key love story between Bobby, a young addict and small-time hustler, and Helen, a homeless girl who finds in her relationship with Bobby the stability she craves.",1971-07-13,6.5,74.0
False,en,Wake in Fright,"Wake in Fright is the story of John Grant, a bonded teacher who arrives in the rough outback mining town of Bundanyabba planning to stay overnight before catching the plane to Sydney, but as one night stretches into several he plunges headlong into his own destruction.",1971-07-21,7.6,66.0
False,en,The Omega Man,"Robert Neville, a doctor, due to an experimental vaccine, is the only survivor of an apocalyptic war waged with biological weapons. The plague caused by the war has killed everyone else except for a few hundred deformed, nocturnal people calling themselves ""The Family"". The plague has caused them to become sensitive to light, as well as homicidally psychotic.",1971-08-01,6.0,147.0
False,en,Johnny Got His Gun,"Joe, a young American soldier, is hit by a mortar shell on the last day of World War I. He lies in a hospital bed in a fate worse than death - a quadruple amputee who has lost his arms, legs, eyes, ears, mouth and nose. Unbeknown to his doctors, he remains conscious and able to think, thereby reliving his life through strange dreams and memories and unable to distinguish whether he is awake or dreaming. He remains frustrated by his situation, until one day when Joe discovers a unique way to communicate with his caregivers.",1971-08-04,7.2,65.0
False,en,Let's Scare Jessica to Death,"Newly released from a mental ward, Jessica hopes to return to life the way it was before her nervous breakdown. But when Jessica moves to a country house with her husband and a close friend, she finds a mysterious girl living in there who may or may not be a vampire. Jessica's terror and paranoia resurface as evil forces surround her, making her wonder: Are the visions real or is she slipping back into madness?",1971-08-06,6.6,51.0
False,it,Reazione a catena,"An elderly heiress is killed by her husband who wants control of her fortunes. What ensues is an all-out murder spree as relatives and friends attempt to reduce the inheritance playing field, complicated by some teenagers who decide to camp out in a dilapidated building on the estate.",1971-08-08,6.4,53.0
False,fr,Jo,"Selling author, Antoine Brisebard is a victim of a blackmailer, Jo, which threatens to jeopardize his reputation by revealing the past of his wife Sylvia. While the latter must pass the same night to take possession of the money required, Brisebard accidentally kills ...",1971-08-31,7.1,49.0
False,fr,Soleil rouge,"An ancient Japanese sword is robbed by gangsters from the Japanese ambassador while he is traveling through west America. The embassador's bodyguard, a samurai, goes after them with the help of one of the gang leaders who was betrayed by his fellows.",1971-09-15,6.9,41.0
False,en,And Now for Something Completely Different,And Now for Something Completely Different is a film spin-off from the television comedy series Monty Python's Flying Circus featuring favourite sketches from the first two seasons.,1971-09-28,7.1,139.0
False,zh,唐山大兄,"Chen is a city boy who moves with his cousins to work at an ice factory. He does this with a family promise never to get involved in any fight. However, when members of his family begin disappearing after meeting the management of the factory, the resulting mystery and pressures force him to break that vow and take on the villainy of the Big Boss.",1971-10-02,7.3,148.0
False,en,Twins of Evil,"While dabbling in Satanism, Count Karstein resurrects Mircalla Karnstein who initiates him into vampirism. As a rash of deaths afflicts the village, Gustav the head of Puritan group leads his men to seek out and destroy the pestilence. One of his twin nieces has become inflicted with the witchcraft but Gustav's zeal and venom has trapped the innocent Maria, threatening her with a tortuous execution, whilst Frieda remains free to continue her orgy of evil.",1971-10-03,6.8,33.0
False,en,The Last Picture Show,The coming of age of a youth named Sonny in a small Texas town in the 1950s.,1971-10-03,7.6,133.0
False,en,Bedknobs and Broomsticks,Three children evacuated from London during World War II are forced to stay with an eccentric spinster (Eglantine Price). The children's initial fears disappear when they find out she is in fact a trainee witch.,1971-10-07,6.8,260.0
False,en,The French Connection,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,1971-10-09,7.4,435.0
False,en,The Tragedy of Macbeth,A ruthlessly ambitious Scottish lord siezes the throne with the help of his scheming wife and a trio of witches.,1971-10-13,7.0,70.0
False,it,Giù la testa,"At the beginning of the 1913 Mexican Revolution, greedy bandit Juan Miranda and idealist John H. Mallory, an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.",1971-10-20,7.7,176.0
False,en,Carnal Knowledge,"The concurrent sexual lives of best friends Jonathan and Sandy are presented, those lives which are affected by the sexual mores of the time and their own temperament, especially in relation to the respective women who end up in their lives.",1971-10-21,6.7,34.0
False,en,Fiddler on the Roof,"This lavishly produced and critically acclaimed screen adaptation of the international stage sensation tells the life-affirming story of Tevye (Topol), a poor milkman whose love, pride and faith help him face the oppression of turn-of-the-century Czarist Russia. Nominated for eight Academy Awards.",1971-11-03,7.4,136.0
False,en,Play Misty for Me,"A brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.",1971-11-03,6.5,102.0
False,zh,俠女,Ming dynasty noblewoman Yang must escape from the evil eunuch Hsu. She seeks refuge at a decrepit town where she gets assistance from a naive scholar & a group of mysterious yet powerful monks.,1971-11-17,7.7,32.0
False,en,Man in the Wilderness,"In the early 1800's, a group of fur trappers and Indian traders are returning with their goods to civilization and are making a desperate attempt to beat the oncoming winter. When guide Zachary Bass is injured in a bear attack, they decide he's a goner and leave him behind to die. When he recovers instead, he swears revenge on them and tracks them and their paranoiac expedition leader down.",1971-11-24,6.1,36.0
False,en,Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,1971-12-13,6.3,562.0
False,ru,Джентльмены удачи,"A kindergarten director Troshkin is a dead ringer for a criminal nicknamed ""Docent"" who stole the priceless...",1971-12-13,7.4,39.0
False,it,4 mosche di velluto grigio,"Roberto, a drummer in a rock band, keeps receiving weird phone calls and being followed by a mysterious man. One night he manages to catch up with his persecutor and tries to get him to talk but in the ensuing struggle he accidentally stabs him. He runs away, but he understands his troubles have just begun when the following day he receives an envelope with photos of him killing the man. Someone is killing all his friends and trying to frame him for the murders...",1971-12-17,6.2,49.0
False,en,A Clockwork Orange,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",1971-12-18,8.0,3432.0
False,en,Harold and Maude,The young Harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. Harold meets an 80-year-old woman named Maude who also lives in her own world yet one in which she is having the time of her life. When the two opposites meet they realize that their differences don’t matter and they become best friends and love each other.,1971-12-20,7.7,266.0
False,en,Dirty Harry,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971-12-21,7.4,630.0
False,en,Straw Dogs,A young American and his English wife come to rural England and face increasingly vicious local harassment.,1971-12-29,7.2,230.0
False,en,Chato's Land,"A posse pursues Pardon Chato (Charles Bronson) a mestizo indian after he killed a US marshal in self-defense. As they get deeper into Indian territory, just who is hunting who.",1972-01-01,6.7,33.0
